# Digitized from Fig. 2(a), Smith et al., Phys. Rev. Lett. 135, 086702 (2025), arXiv:2501.08327v5.
# Visual-comparison data only; no experimental uncertainties were inferred from the raster image.
# Source Figure2.png SHA256: cc2f9ea660b8c26320557734d337c7513be6073be95143750412e0d6c87646a9.
# Calibration from plotted ticks: x=389.5 -> 0.1 K, x=726.5 -> 1 K; y=699.5 -> 0, 138.0 px per 0.5 J mol_Ce^-1 K^-1.
series,temperature_K,Cmag_J_molCe_K
experiment,2.90340762,0.0461956522
experiment,2.98385317,0.0416666667
experiment,3.06652765,0.0362318841
experiment,3.14074474,0.0380434783
experiment,3.23881213,0.0362318841
experiment,3.32855083,0.0452898551
experiment,3.42077594,0.0326086957
experiment,3.51555636,0.0280797101
experiment,3.6129629,0.0253623188
experiment,3.7130683,0.0226449275
experiment,3.81594735,0.0199275362
experiment,3.9216769,0.0217391304
experiment,4.05796788,0.0253623188
experiment,4.14200561,0.0190217391
experiment,4.25676935,0.0163043478
experiment,4.37471288,0.0144927536
experiment,4.49592431,0.0307971014
experiment,4.62049418,0.035326087
experiment,4.74851554,0.0172101449
experiment,4.84685403,0.0307971014
experiment,5.06696348,0.0235507246
experiment,5.15425822,0.0226449275
experiment,5.24305689,0.018115942
experiment,5.49991634,0.027173913
experiment,5.59467008,0.0253623188
experiment,5.74968321,0.0153985507
experiment,6.09349514,0.027173913
experiment,6.17733547,0.0235507246
experiment,6.45786587,0.0226449275
experiment,6.59160384,0.0262681159
experiment,6.75113597,0.0217391304
experiment,7.15483144,0.0235507246
experiment,7.34470375,0.0163043478
experiment,7.5568061,0.0199275362
experiment,7.75734587,0.0163043478
published_NLC_A,0.100685599,1.52536232
published_NLC_A,0.103593225,1.56702899
published_NLC_A,0.106342345,1.57789855
published_NLC_A,0.110038086,1.61775362
published_NLC_A,0.112316899,1.62771739
published_NLC_A,0.116220275,1.66304348
published_NLC_A,0.118627117,1.67210145
published_NLC_A,0.125291858,1.70471014
published_NLC_A,0.128324212,1.71376812
published_NLC_A,0.136462976,1.73369565
published_NLC_A,0.139765697,1.73822464
published_NLC_A,0.149138752,1.73550725
published_NLC_A,0.151708146,1.73822464
published_NLC_A,0.155379836,1.73550725
published_NLC_A,0.165234561,1.71557971
published_NLC_A,0.169233621,1.71014493
published_NLC_A,0.179353229,1.67934783
published_NLC_A,0.183067511,1.67028986
published_NLC_A,0.190077955,1.63949275
published_NLC_A,0.194014339,1.63224638
published_NLC_A,0.19938995,1.61231884
published_NLC_A,0.204914505,1.59057971
published_NLC_A,0.209158143,1.58333333
published_NLC_A,0.230941235,1.50181159
published_NLC_A,0.233320298,1.49094203
published_NLC_A,0.242255138,1.45652174
published_NLC_A,0.245588324,1.44202899
published_NLC_A,0.25499296,1.4048913
published_NLC_A,0.259386033,1.39311594
published_NLC_A,0.269319043,1.35144928
published_NLC_A,0.278678752,1.30887681
published_NLC_A,0.284449998,1.29981884
published_NLC_A,0.293331735,1.25905797
published_NLC_A,0.299406433,1.25181159
published_NLC_A,0.309811777,1.21376812
published_NLC_A,0.316227766,1.20289855
published_NLC_A,0.327217706,1.16485507
published_NLC_A,0.332855083,1.15398551
published_NLC_A,0.344422875,1.11775362
published_NLC_A,0.351555636,1.10597826
published_NLC_A,0.363773334,1.06884058
published_NLC_A,0.37130683,1.05706522
published_NLC_A,0.384210945,1.02083333
published_NLC_A,0.39216769,1.01086957
published_NLC_A,0.405796788,0.971014493
published_NLC_A,0.416565675,0.963768116
published_NLC_A,0.428595373,0.924818841
published_NLC_A,0.437471288,0.917572464
published_NLC_A,0.452674833,0.884057971
published_NLC_A,0.462049418,0.870471014
published_NLC_A,0.479743282,0.836956522
published_NLC_A,0.488008402,0.826086957
published_NLC_A,0.506696348,0.793478261
published_NLC_A,0.517189681,0.780797101
published_NLC_A,0.536995104,0.748188406
published_NLC_A,0.548115904,0.736413043
published_NLC_A,0.569105625,0.704710145
published_NLC_A,0.578910299,0.69384058
published_NLC_A,0.601079271,0.655797101
published_NLC_A,0.611434793,0.650362319
published_NLC_A,0.621968723,0.643115942
published_NLC_A,0.645786587,0.609601449
published_NLC_A,0.661416123,0.599637681
published_NLC_A,0.689094735,0.572463768
published_NLC_A,0.700966607,0.560688406
published_NLC_A,0.740348502,0.527173913
published_NLC_A,0.75568061,0.512681159
published_NLC_A,0.787303955,0.486413043
published_NLC_A,0.800867797,0.476449275
published_NLC_A,0.848757027,0.44384058
published_NLC_A,0.866334201,0.43115942
published_NLC_A,0.905676906,0.407608696
