temperature_over_Jzz,heat_capacity_per_site,entropy_per_site,delta_log10_temperature,delta_heat_capacity_per_site,delta_entropy_per_site
2.883033874,0.01619625478,0.6753286341,0.002,0.0015,0.002
2.926018875,0.01571663905,0.675739688,0.002,0.0015,0.002
2.962233991,0.01713089071,0.675739688,0.002,0.0015,0.002
3.006399837,0.01478200343,0.6761849975,0.002,0.0015,0.002
3.043609822,0.01399494159,0.6761849975,0.002,0.0015,0.002
3.088395294,0.01336775176,0.6766303071,0.002,0.0015,0.002
3.126620131,0.01351532586,0.6766303071,0.002,0.0015,0.002
3.165318073,0.01367519787,0.6770756166,0.002,0.0015,0.002
3.204494962,0.01320787975,0.6770756166,0.002,0.0015,0.002
3.244156755,0.0144622594,0.6770756166,0.002,0.0015,0.002
3.28430944,0.01336775176,0.6774866705,0.002,0.0015,0.002
3.324959075,0.01320787975,0.6774866705,0.002,0.0015,0.002
3.366111843,0.01414251568,0.6774866705,0.002,0.0015,0.002
3.407773957,0.01304800805,0.6779319801,0.002,0.0015,0.002
3.449951719,0.01005963302,0.6779319801,0.002,0.0015,0.002
3.483935551,0.01116643858,0.6779319801,0.002,0.0015,0.002
3.527055943,0.01304800805,0.6783772896,0.002,0.0015,0.002
3.570710049,0.01100656656,0.6783772896,0.002,0.0015,0.002
3.605883414,0.01005963302,0.6783772896,0.002,0.0015,0.002
3.650513162,0.01037937674,0.6788225992,0.002,0.0015,0.002
3.68647263,0.01116643858,0.6788225992,0.002,0.0015,0.002
3.732099806,0.01100656656,0.6788225992,0.002,0.0015,0.002
3.768862945,0.01052695083,0.6788225992,0.002,0.0015,0.002
3.805988219,0.01100656656,0.6792679078,0.002,0.0015,0.002
3.843479198,0.009592314901,0.6792679078,0.002,0.0015,0.002
3.891049651,0.008965125077,0.6792679078,0.002,0.0015,0.002
3.929378529,0.009112699171,0.6792679078,0.002,0.0015,0.002
3.968084966,0.009272571186,0.6796789626,0.002,0.0015,0.002
4.00794295,0.009432443201,0.6796789626,0.002,0.0015,0.002
4.047423288,0.008325637333,0.6796789626,0.002,0.0015,0.002
4.087292528,0.009272571186,0.6796789626,0.002,0.0015,0.002
4.127554501,0.00989976101,0.6796789626,0.002,0.0015,0.002
4.168213076,0.008805253377,0.6801242721,0.002,0.0015,0.002
4.209272158,0.007858319523,0.6801242721,0.002,0.0015,0.002
4.250735695,0.008178063552,0.6801242721,0.002,0.0015,0.002
4.293432782,0.008805253377,0.6801242721,0.002,0.0015,0.002
4.324905502,0.008645381362,0.6801242721,0.002,0.0015,0.002
4.367508087,0.007538575809,0.6801242721,0.002,0.0015,0.002
4.41053033,0.007858319523,0.6805695817,0.002,0.0015,0.002
4.453976365,0.007858319523,0.6805695817,0.002,0.0015,0.002
4.487488346,0.006444067861,0.6805695817,0.002,0.0015,0.002
4.531692457,0.006911385984,0.6805695817,0.002,0.0015,0.002
4.564911701,0.008485509347,0.6805695817,0.002,0.0015,0.002
4.609878474,0.008018191538,0.6805695817,0.002,0.0015,0.002
4.644563471,0.006444067861,0.6810148903,0.002,0.0015,0.002
4.690314855,0.006603939875,0.6810148903,0.002,0.0015,0.002
4.724696869,0.00628419616,0.6810148903,0.002,0.0015,0.002
4.771237609,0.007071257685,0.6810148903,0.002,0.0015,0.002
4.807136705,0.007538575809,0.6810148903,0.002,0.0015,0.002
4.854489521,0.005976750051,0.6810148903,0.002,0.0015,0.002
4.890075005,0.005497134322,0.6810148903,0.002,0.0015,0.002
4.926868218,0.006124324146,0.6810148903,0.002,0.0015,0.002
4.975400451,0.007071257685,0.6814601999,0.002,0.0015,0.002
5.011872265,0.007538575809,0.6814601999,0.002,0.0015,0.002
5.048611457,0.006444067861,0.6814601999,0.002,0.0015,0.002
